Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A4,P2,A3,50.0
P1,A4,P2,B3,50.0
P1,A4,P2,C3,50.0
P1,A4,P2,D3,50.0
P1,A4,P2,E3,50.0
P1,A4,P2,F3,50.0
P1,A4,P2,A4,50.0
P1,A4,P2,B4,50.0
P1,A4,P2,C4,50.0
P1,A4,P2,D4,50.0
P1,A4,P2,E4,50.0
P1,A4,P2,F4,50.0
P1,B4,P2,A1,50.0
P1,B4,P2,B1,50.0
P1,B4,P2,C1,50.0
P1,B4,P2,D1,50.0
P1,B4,P2,E1,50.0
P1,B4,P2,F1,50.0
P1,B4,P2,A2,50.0
P1,B4,P2,B2,50.0
P1,B4,P2,C2,50.0
P1,B4,P2,D2,50.0
P1,B4,P2,E2,50.0
P1,B4,P2,F2,50.0
P1,B4,P2,A3,50.0
P1,B4,P2,B3,50.0
P1,B4,P2,C3,50.0
P1,B4,P2,D3,50.0
P1,B4,P2,E3,50.0
P1,B4,P2,F3,50.0
P1,B4,P2,A4,50.0
P1,B4,P2,B4,50.0
P1,B4,P2,C4,50.0
P1,B4,P2,D4,50.0
P1,B4,P2,E4,50.0
P1,B4,P2,F4,50.0
P1,C4,P2,A1,50.0
P1,C4,P2,B1,50.0
P1,C4,P2,C1,50.0
P1,C4,P2,D1,50.0
P1,C4,P2,E1,50.0
P1,C4,P2,F1,50.0
P1,C4,P2,A2,50.0
P1,C4,P2,B2,50.0
P1,C4,P2,C2,50.0
P1,C4,P2,D2,50.0
P1,C4,P2,E2,50.0
P1,C4,P2,F2,50.0
P1,C4,P2,A3,50.0
P1,C4,P2,B3,50.0
P1,C4,P2,C3,50.0
P1,C4,P2,D3,50.0
P1,C4,P2,E3,50.0
P1,C4,P2,F3,50.0
P1,C4,P2,A4,50.0
P1,C4,P2,B4,50.0
P1,C4,P2,C4,50.0
P1,C4,P2,D4,50.0
P1,C4,P2,E4,50.0
P1,C4,P2,F4,50.0
P1,D4,P2,A1,50.0
P1,D4,P2,B1,50.0
P1,D4,P2,C1,50.0
P1,D4,P2,D1,50.0
P1,D4,P2,E1,50.0
P1,D4,P2,F1,50.0
P1,D4,P2,A2,50.0
P1,D4,P2,B2,50.0
P1,D4,P2,C2,50.0
P1,D4,P2,D2,50.0
P1,D4,P2,E2,50.0
P1,D4,P2,F2,50.0
P1,D4,P2,A3,50.0
P1,D4,P2,B3,50.0
P1,D4,P2,C3,50.0
P1,D4,P2,D3,50.0
P1,D4,P2,E3,50.0
P1,D4,P2,F3,50.0
P1,D4,P2,A4,50.0
P1,D4,P2,B4,50.0
P1,D4,P2,C4,50.0
P1,D4,P2,D4,50.0
P1,D4,P2,E4,50.0
P1,D4,P2,F4,50.0
